variant,agent_count,run_count,average_fps,average_fps_std,p05_fps,p05_fps_std,average_delta_time_ms,average_delta_time_ms_std,completed_tasks_per_minute,completed_tasks_per_minute_std,stuck_percent,stuck_percent_std,final_completed_tasks,final_completed_tasks_std
BaselineNavMesh,1000,1,77.07666666666667,0.0,75.38199999999999,0.0,12.979666666666667,0.0,1725.2396166134188,0.0,0.0,0.0,432.0,0.0
BaselineNavMesh,2000,1,43.75666666666666,0.0,42.925999999999995,0.0,22.861666666666665,0.0,2186.3155794933173,0.0,0.0,0.0,548.0,0.0
BaselineNavMesh,5000,1,18.80333333333333,0.0,18.498,0.0,53.19733333333334,0.0,1626.3619452564444,0.0,0.0,0.0,408.0,0.0
BaselineNavMesh,10000,1,9.493333333333334,0.0,9.435,0.0,105.33433333333333,0.0,1475.4746835443038,0.0,0.0,0.0,373.0,0.0
SpatialHashGpuInstanced,1000,1,174.96666666666667,0.0,172.112,0.0,5.717,0.0,2130.7215670597643,0.0,0.0,0.0,533.0,0.0
SpatialHashGpuInstanced,2000,1,101.89333333333333,0.0,100.24699999999999,0.0,9.818666666666667,0.0,4103.622802344166,0.0,0.0,0.0,1027.0,0.0
SpatialHashGpuInstanced,5000,1,39.96333333333333,0.0,38.74,0.0,25.03933333333333,0.0,8916.816277678037,0.0,0.0,0.0,2235.0,0.0
SpatialHashGpuInstanced,10000,1,16.906666666666666,0.0,15.847000000000001,0.0,59.33733333333333,0.0,16055.161440031825,0.0,0.0,0.0,4036.0,0.0
